variable;unit;min;max;definition
Secondary Energy|Liquids;EJ/yr;NA;1000;total final energy
Secondary Energy|Liquids|Biomass;EJ/yr;NA;1000;total liquid biofuels production
Secondary Energy|Liquids|Biomass|w/ CCS;EJ/yr;NA;1000;total production of liquid biofuels from facilities with CCS
Secondary Energy|Liquids|Biomass|w/o CCS;EJ/yr;NA;1000;total production of liquid biofuels from facilities without CCS
Secondary Energy|Liquids|Fossil;EJ/yr;NA;1000;total production of fossil liquid synfuels
Secondary Energy|Liquids|Fossil|w/ CCS;EJ/yr;NA;1000;total production of fossil liquid synfuels from facilities with CCS
Secondary Energy|Liquids|Fossil|w/o CCS;EJ/yr;NA;1000;total production of fossil liquid synfuels from facilities without CCS
Secondary Energy|Liquids|Coal;EJ/yr;NA;1000;total production of fossil liquid synfuels from coal-to-liquids (CTL) technologies
Secondary Energy|Liquids|Gas;EJ/yr;NA;1000;total production of fossil liquid synfuels from gas-to-liquids (GTL) technologies
Secondary Energy|Liquids|Oil;EJ/yr;NA;1000;total production of liquid fuels from petroleum, including both conventional and unconventional sources
Secondary Energy|Liquids|Other;EJ/yr;NA;1000;total production of liquids from sources that do not fit any other category
Secondary Energy|Gases;EJ/yr;NA;1000;total production of gaseous fuels, including natural gas
Secondary Energy|Gases|Natural Gas;EJ/yr;NA;1000;total production of natural gas
Secondary Energy|Gases|Biomass;EJ/yr;NA;1000;total production of biogas
Secondary Energy|Gases|Coal;EJ/yr;NA;1000;total production of coal gas from coal gasification
Secondary Energy|Gases|Other;EJ/yr;NA;1000;total production of gases from sources that do not fit any other category
Secondary Energy|Solids;EJ/yr;NA;1000;solid secondary energy carriers (e.g., briquettes, coke, wood chips, wood pellets)
Secondary Energy|Solids|Coal;EJ/yr;NA;1000;solid secondary energy carriers produced from coal (e.g., briquettes, coke)
Secondary Energy|Solids|Biomass;EJ/yr;NA;1000;solid secondary energy carriers produced from biomass (e.g., commercial charcoal, wood chips, wood pellets)
Secondary Energy|Heat;EJ/yr;NA;1000;total centralized heat generation
Secondary Energy|Heat|Coal;EJ/yr;NA;1000;centralized heat generation from coal
Secondary Energy|Heat|Oil;EJ/yr;NA;1000;centralized heat generation from oil products
Secondary Energy|Heat|Gas;EJ/yr;NA;1000;centralized heat generation from gases
Secondary Energy|Heat|Biomass;EJ/yr;NA;1000;centralized heat generation from biomass
Secondary Energy|Heat|Solar;EJ/yr;NA;1000;centralized heat generation from solar energy
Secondary Energy|Heat|Geothermal;EJ/yr;NA;1000;centralized heat generation from geothermal energy EXCLUDING geothermal heat pumps
Secondary Energy|Heat|Nuclear;EJ/yr;NA;1000;centralized heat generation from nuclear energy
Secondary Energy|Heat|Other;EJ/yr;NA;1000;centralized heat generation from sources that do not fit any other category
Secondary Energy|Other Carrier;EJ/yr;NA;1000;generation of other secondary energy carriers that do not fit any other category (please provide a definition of other energy carrier in this category in the 'comments' tab)
Secondary Energy|Other Carrier|Coal;EJ/yr;NA;1000;generation of other secondary energy carriers from coal that do not fit any other category (please provide a definition of other energy carrier in this category in the 'comments' tab)
Secondary Energy|Other Carrier|Oil;EJ/yr;NA;1000;generation of other secondary energy carriers from oil that do not fit any other category (please provide a definition of other energy carrier in this category in the 'comments' tab)
Secondary Energy|Other Carrier|Gas;EJ/yr;NA;1000;generation of other secondary energy carriers from natural gas that do not fit any other category (please provide a definition of other energy carrier in this category in the 'comments' tab)
