variable;unit;min;max;definition
LCOE|Liquids|Biomass|w/o CCS;US$2005/MWh;NA;1000;average levelized cost of liquids produced from biomass sources and not using CCS (weighted by the share of producton from the various plant types). LCOE should include the investment, O&M, fuel and decomissioning costs. Each model is free to chose its own discount rate. LCOE should NOT include effect of carbon price.
LCOE|Liquids|Coal|w/ CCS;US$2005/MWh;NA;1000;average levelized cost of liquids produced from coal-to-liquids processes and not using CCS (weighted by the share of producton from the various plant types). LCOE should include the investment, O&M, fuel and decomissioning costs. Each model is free to chose its own discount rate. LCOE should NOT include effect of carbon price.
LCOE|Liquids|Coal|w/o CCS;US$2005/MWh;NA;1000;average levelized cost of liquids produced from coal-to-liquids processes and not using CCS (weighted by the share of producton from the various plant types). LCOE should include the investment, O&M, fuel and decomissioning costs. Each model is free to chose its own discount rate. LCOE should NOT include effect of carbon price.
Land Cover;million Ha/yr;0;1000;total land cover
Land Cover|Cropland;million Ha/yr;0;1000;total arable land, i.e. land in non-forest bioenergy crop, food, and feed/fodder crops, as well as other arable land (cultivated area)
Land Cover|Cropland|Irrigated;million Ha/yr;0;1000;total arable land actually irrigated
Land Cover|Cropland|Energy Crops|Irrigated;million Ha/yr;0;1000;land dedicated to energy crops actually irrigated
Land Cover|Pasture;million Ha/yr;0;1000;pasture
Land Cover|Forest;million Ha/yr;0;1000;managed and unmanaged forest area
Land Cover|Other Land;million Ha/yr;0;1000;other land cover that does not fit into any other category (e.g., rock, ice, desert, water, build-up area, please provide a definition of the sources in this category in the 'comments' tab)
Land Cover|Forest|Managed;million Ha/yr;0;1000;managed forests producing commercial wood supply for timber or energy (note: woody energy crops reported under "energy crops")|good to distinguish b/w commercial and other forests
Land Cover|Cropland|Energy Crops;million Ha/yr;0;1000;land dedicated to energy crops (e.g., switchgrass, miscanthus, fast-growing wood species)|use, but need clear definition, esp for models like message.
Land Cover|Other Arable Land;million Ha/yr;0;1000;other arable land that is unmanaged (e.g., grassland, savannah, shrubland), excluding unmanaged forests that are arable
Emissions|CH4|Energy Supply and Demand;Mt CH4/yr;NA;1000;total methane emissions from energy use on supply and demand side
Emissions|CH4|Land Use;Mt CH4/yr;NA;1000;total anthropogenic methane emissions from land use, including agriculture and livestock
Emissions|CH4|Other;Mt CH4/yr;NA;1000;anthropogenic methane emissions from other sources (e.g., landfills, sewage, please provide a definition of other sources in this category in the 'comments' tab)
Emissions|N2O|Energy Supply and Demand;kt N2O/yr;NA;1000;total nitrous oxide emissions from energy use on supply and demand side
Emissions|N2O|Land Use;kt N2O/yr;NA;1000;total anthropogenic nitrous oxide emissions from land use, including agriculture and livestock
Emissions|N2O|Other;kt N2O/yr;NA;1000;anthropogenic nitrous oxide emissions from other sources (please provide a definition of other sources in this category in the 'comments' tab)
Emissions|CO2|Land Use|Soil Carbon;Mt CO2/yr;NA;1000;Net soil carbon emissions (positive numbers imply net emissions to the atmosphere while negative numbers imply net carbon uptake from the atmosphere)
Emissions|CO2|Carbon Capture and Storage|Biomass;Mt CO2/yr;NA;1000;total carbon dioxide emissions captured  from bioenergy use and stored in geological deposits (e.g. in depleted oil and gas fields, unmined coal seams, saline aquifers) and the deep ocean, stored amounts should be reported as positive numbers
Price|Secondary Energy|Liquids|Biomass;US$2005/GJ;NA;1000;biofuel price at the secondary level, i.e. for biofuel consumers
Price|Agriculture|Non-Energy Crops|Index;Index (2005 = 1);NA;1000;Laspeyres price index for non-energy crops
Price|Agriculture|Water|Index;Index (2005 = 1);NA;1000;water shadow price index
Trade|Primary Energy|Biomass|Volume;EJ/yr;NA;1000;net exports of solid, unprocessed biomass, at the global level these should add up to the trade losses only
Primary Energy|Biomass|Energy Crops;EJ/yr;NA;1000;biomass primary energy from purpose-grown bioenergy crops
Primary Energy|Biomass|1st Generation;EJ/yr;NA;1000;biomass primary energy from 1st generation biofuel crops (e.g., sugar cane, rapeseed oil, maize, sugar beet)
Primary Energy|Biomass|Residues;EJ/yr;NA;1000;biomass primary energy from residues
Primary Energy|Biomass|Other;EJ/yr;NA;1000;biomass primary energy from other sources (including logs, algae, etc.) that do not fit to any other category (please provide a definition of the sources in this category in the 'comments' tab)
Primary Energy|Biomass|Electricity;EJ/yr;NA;1000;primary modern bioenergy input to the electricity generation
Primary Energy|Biomass|Electricity|w/ CCS;EJ/yr;NA;1000;primary modern bioenergy input to the electricity generation with CCS
Primary Energy|Biomass|Liquids;EJ/yr;NA;1000;primary modern bioenergy input to biofuel production processes
Primary Energy|Biomass|Liquids|w/ CCS;EJ/yr;NA;1000;primary modern bioenergy input to biofuel production processes with CCS
Primary Energy|Biomass|Gases;EJ/yr;NA;1000;primary modern bioenergy input to gasification processes
Primary Energy|Biomass|Hydrogen;EJ/yr;NA;1000;primary modern bioenergy input to hydrogen production processes
Primary Energy|Biomass|Hydrogen|w/ CCS;EJ/yr;NA;1000;primary modern bioenergy input to hydrogen production processes with CCS
Secondary Energy|Liquids|Biomass|Energy Crops;EJ/yr;NA;1000;liquid biofuels production from energy crops
Secondary Energy|Liquids|Biomass|Residues;EJ/yr;NA;1000;liquid biofuels production from residues (forest and agriculture)
Secondary Energy|Liquids|Biomass|1st Generation;EJ/yr;NA;1000;liquid biofuels production from 1st generation technologies, relying on e.g. corn, sugar, oil
Secondary Energy|Electricity|Biomass|Energy Crops;EJ/yr;NA;1000;net electricity production from purpose-grown biomass
Secondary Energy|Electricity|Biomass|Residues;EJ/yr;NA;1000;net electricity production from biomass residues
Secondary Energy|Electricity|Biomass|Other;EJ/yr;NA;1000;net electricity production from biomass that does not fit to any other category (please provide a definition of the sources in this category in the 'comments' tab)
Secondary Energy|Liquids|Biomass|Other;EJ/yr;NA;1000;biofuel production from biomass that does not fit to any other category (please provide a definition of the sources in this category in the 'comments' tab)
Primary Energy Production|Biomass|Energy Crops;EJ/yr;NA;1000;domestically produced biomass primary energy from purpose-grown bioenergy crops
Primary Energy Production|Biomass|1st Generation;EJ/yr;NA;1000;domestically produced biomass primary energy from 1st generation biofuel crops (e.g., sugar cane, rapeseed oil, maize, sugar beet)
Food Energy Demand;EJ/yr;NA;1000;total calory food demand
Food Energy Demand|Livestock ;EJ/yr;NA;1000;calory food demand for livestock products
Final Energy|Industry|Solids;EJ/yr;NA;1000;final energy solid fuel consumption by the industrial sector (including coal and solid biomass)
Final Energy|Industry|Solids|Coal;EJ/yr;NA;1000;final energy coal consumption by the industrial sector
Final Energy|Industry|Solids|Biomass;EJ/yr;NA;1000;final energy consumption by the industrial sector of solid biomass (modern and traditional), excluding final energy consumption of bioliquids which are reported in the liquids category
Final Energy|Industry|Liquids;EJ/yr;NA;1000;final energy consumption by the industrial sector of refined liquids (conventional & unconventional oil, biofuels, coal-to-liquids, gas-to-liquids)
Final Energy|Industry|Gases;EJ/yr;NA;1000;final energy consumption by the industrial sector of gases (natural gas, biogas, coal-gas), excluding transmission/distribution losses
Final Energy|Industry|Electricity;EJ/yr;NA;1000;final energy consumption by the industrial sector of electricity (including on-site solar PV), excluding transmission/distribution losses
Final Energy|Industry|Hydrogen;EJ/yr;NA;1000;final energy consumption by the industrial sector of hydrogen
Final Energy|Industry|Heat;EJ/yr;NA;1000;final energy consumption by the industrial sector of heat (e.g., district heat, process heat, solar heating and warm water), excluding transmission/distribution losses
Final Energy|Industry|Other;EJ/yr;NA;1000;final energy consumption by the industrial sector of other sources that do not fit to any other category (please provide a definition of the sources in this category in the 'comments' tab)
Final Energy|Residential and Commercial|Solids;EJ/yr;NA;1000;final energy solid fuel consumption by the residential & commercial sector (including coal and solid biomass)
Final Energy|Residential and Commercial|Solids|Coal;EJ/yr;NA;1000;final energy coal consumption by the residential & commercial sector
Final Energy|Residential and Commercial|Solids|Biomass;EJ/yr;NA;1000;final energy consumption by the residential & commercial sector of solid biomass (modern and traditional), excluding final energy consumption of bioliquids which are reported in the liquids category
Final Energy|Residential and Commercial|Liquids;EJ/yr;NA;1000;final energy consumption by the residential & commercial sector of refined liquids (conventional & unconventional oil, biofuels, coal-to-liquids, gas-to-liquids)
Final Energy|Residential and Commercial|Gases;EJ/yr;NA;1000;final energy consumption by the residential & commercial sector of gases (natural gas, biogas, coal-gas), excluding transmission/distribution losses
Final Energy|Residential and Commercial|Electricity;EJ/yr;NA;1000;final energy consumption by the residential & commercial sector of electricity (including on-site solar PV), excluding transmission/distribution losses
Final Energy|Residential and Commercial|Hydrogen;EJ/yr;NA;1000;final energy consumption by the residential & commercial sector of hydrogen
Final Energy|Residential and Commercial|Heat;EJ/yr;NA;1000;final energy consumption by the residential & commercial sector of heat (e.g., district heat, process heat, solar heating and warm water), excluding transmission/distribution losses
Final Energy|Residential and Commercial|Other;EJ/yr;NA;1000;final energy consumption by the residential & commercial sector of other sources that do not fit to any other category (please provide a definition of the sources in this category in the 'comments' tab)
Final Energy|Transportation|Liquids;EJ/yr;NA;1000;final energy consumption by the transportation sector of refined liquids (conventional & unconventional oil, biofuels, coal-to-liquids, gas-to-liquids)
Final Energy|Transportation|Gases;EJ/yr;NA;1000;final energy consumption by the transportation sector of gases (natural gas, biogas, coal-gas), excluding transmission/distribution losses
Final Energy|Transportation|Hydrogen;EJ/yr;NA;1000;final energy consumption by the transportation sector of hydrogen
Final Energy|Transportation|Electricity;EJ/yr;NA;1000;final energy consumption by the transportation sector of electricity (including on-site solar PV), excluding transmission/distribution losses
Final Energy|Transportation|Other;EJ/yr;NA;1000;final energy consumption by the transportation sector of other sources that do not fit to any other category (please provide a definition of the sources in this category in the 'comments' tab)
Final Energy|Other Sector|Solids;EJ/yr;NA;1000;final energy solid fuel consumption by other sectors (including coal and solid biomass)
Final Energy|Other Sector|Solids|Coal;EJ/yr;NA;1000;final energy coal consumption by other sectors
Final Energy|Other Sector|Solids|Biomass;EJ/yr;NA;1000;final energy consumption by other sectors of solid biomass (modern and traditional), excluding final energy consumption of bioliquids which are reported in the liquids category
Final Energy|Other Sector|Liquids;EJ/yr;NA;1000;final energy consumption by other sectors of refined liquids (conventional & unconventional oil, biofuels, coal-to-liquids, gas-to-liquids)
Final Energy|Other Sector|Gases;EJ/yr;NA;1000;final energy consumption by other sectors of gases (natural gas, biogas, coal-gas), excluding transmission/distribution losses
Final Energy|Other Sector|Electricity;EJ/yr;NA;1000;final energy consumption by other sectors of electricity (including on-site solar PV), excluding transmission/distribution losses
Final Energy|Other Sector|Hydrogen;EJ/yr;NA;1000;final energy consumption by other sectors of hydrogen
Final Energy|Other Sector|Heat;EJ/yr;NA;1000;final energy consumption by other sectors of heat (e.g., district heat, process heat, solar heating and warm water), excluding transmission/distribution losses
Final Energy|Other Sector|Other;EJ/yr;NA;1000;final energy consumption by other sectors of other sources that do not fit to any other category (please provide a definition of the sources in this category in the 'comments' tab)
Price|Final Energy|Industry|Solids|Coal|w/ Taxes;US$2005/GJ;NA;1000;price of coal including taxes in the industrial sector
Price|Final Energy|Industry|Solids|Biomass|w/ Taxes;US$2005/GJ;NA;1000;price of solid biomass including taxes in the industrial sector
Price|Final Energy|Industry|Liquids|w/ Taxes;US$2005/GJ;NA;1000;price of refined liquids (from conventional & unconventional oil, biofuels, coal-to-liquids, gas-to-liquids) including taxes in the industrial sector
Price|Final Energy|Industry|Gases|w/ Taxes;US$2005/GJ;NA;1000;price of gases (natural gas, biogas, coal-gas) including taxes in the industrial sector
Price|Final Energy|Industry|Electricity|w/ Taxes;US$2005/GJ;NA;1000;price of electricity including taxes in the industrial sector
Price|Final Energy|Industry|Hydrogen|w/ Taxes;US$2005/GJ;NA;1000;price of hydrogen including taxes in the industrial sector
Price|Final Energy|Industry|Heat|w/ Taxes;US$2005/GJ;NA;1000;price of heat (e.g., district heat, solar heat) including taxes in the industrial sector
Price|Final Energy|Residential and Commercial|Solids|Coal|w/ Taxes;US$2005/GJ;NA;1000;price of coal including taxes in the residential & commercial sector
Price|Final Energy|Residential and Commercial|Solids|Biomass|w/ Taxes;US$2005/GJ;NA;1000;price of solid biomass including taxes in the residential & commercial sector
Price|Final Energy|Residential and Commercial|Liquids|w/ Taxes;US$2005/GJ;NA;1000;price of refined liquids (from conventional & unconventional oil, biofuels, coal-to-liquids, gas-to-liquids) including taxes in the residential & commercial sector
Price|Final Energy|Residential and Commercial|Gases|w/ Taxes;US$2005/GJ;NA;1000;price of gases (natural gas, biogas, coal-gas) including taxes in the residential & commercial sector
Price|Final Energy|Residential and Commercial|Electricity|w/ Taxes;US$2005/GJ;NA;1000;price of electricity including taxes in the residential & commercial sector
Price|Final Energy|Residential and Commercial|Hydrogen|w/ Taxes;US$2005/GJ;NA;1000;price of hydrogen including taxes in the residential & commercial sector
Price|Final Energy|Residential and Commercial|Heat|w/ Taxes;US$2005/GJ;NA;1000;price of heat (e.g., district heat, solar heat) including taxes in the residential & commercial sector
Price|Final Energy|Transportation|Liquids|w/ Taxes;US$2005/GJ;NA;1000;price of refined liquids (from conventional & unconventional oil, biofuels, coal-to-liquids, gas-to-liquids) including taxes in the transportation sector
Price|Final Energy|Transportation|Gases|w/ Taxes;US$2005/GJ;NA;1000;price of gases (natural gas, biogas, coal-gas) including taxes in the transportation sector
Price|Final Energy|Transportation|Hydrogen|w/ Taxes;US$2005/GJ;NA;1000;price of electricity including taxes in the transportation sector
Price|Final Energy|Transportation|Electricity|w/ Taxes;US$2005/GJ;NA;1000;price of hydrogen including taxes in the transportation sector
Secondary Energy|Hydrogen|Coal;EJ/yr;NA;1000;total hydrogen production from coal
Secondary Energy|Hydrogen|Coal|w/ CCS;EJ/yr;NA;1000;hydrogen production from coal with a CO2 capture component
Secondary Energy|Hydrogen|Coal|w/o CCS;EJ/yr;NA;1000;hydrogen production from coal with freely vented CO2 emissions
Secondary Energy|Hydrogen|Gas;EJ/yr;NA;1000;total hydrogen production from natural gas
Secondary Energy|Hydrogen|Gas|w/ CCS;EJ/yr;NA;1000;hydrogen production from natural gas with a CO2 capture component
Secondary Energy|Hydrogen|Gas|w/o CCS;EJ/yr;NA;1000;hydrogen production from natural gas with freely vented CO2 emissions
Secondary Energy|Hydrogen|Biomass;EJ/yr;NA;1000;total hydrogen production from biomass
Secondary Energy|Hydrogen|Biomass|w/ CCS;EJ/yr;NA;1000;hydrogen production from biomass with a CO2 capture component
Secondary Energy|Hydrogen|Biomass|w/o CCS;EJ/yr;NA;1000;hydrogen production from biomass with freely vented CO2 emissions
Secondary Energy|Hydrogen|Nuclear;EJ/yr;NA;1000;total hydrogen production from nuclear energy (e.g. thermochemical water splitting with nucelar heat)
Secondary Energy|Hydrogen|Solar;EJ/yr;NA;1000;total hydrogen production from solar energy (e.g. thermalchemical water splitting with solar heat)
Secondary Energy|Hydrogen|Electricity;EJ/yr;NA;1000;total hydrogen production from electrolysis
Secondary Energy|Hydrogen|Other;EJ/yr;NA;1000;total hydrogen production from other sources (please provide a definition of the sources in this category in the 'comments' tab)
Final Energy|Geothermal;EJ/yr;NA;1000;final energy consumption of geothermal energy (e.g., from decentralized or small-scale geothermal heating systems) EXCLUDING geothermal heat pumps
Final Energy|Solar;EJ/yr;NA;1000;final energy consumption of solar energy (e.g., from roof-top solar hot water collector systems)
Capacity|Electricity|Solar|CSP;GW;NA;1000;total installed capacity of operating solar CSP facilities
Capacity|Electricity|Solar|PV;GW;NA;1000;total installed capacity of operating solar PV systems
Capacity|Electricity|Wind;GW;NA;1000;total installed capacity of operating wind plants
Capacity|Electricity|Hydro;GW;NA;1000;total installed capacity of operating hydro power plants
Resource|Average Extraction Cost|Coal;US$2005/GJ;NA;1000;Average cost of coal extraction
Resource|Average Extraction Cost|Oil;US$2005/GJ;NA;1000;Average cost of oil extraction
Resource|Average Extraction Cost|Gas;US$2005/GJ;NA;1000;Average cost of gas extraction
Trade|Exports|Primary Energy|Coal|Volume;EJ/yr;NA;1000;exports of coal
Trade|Exports|Primary Energy|Gas|Volume;EJ/yr;NA;1000;exports of natural gas
Trade|Exports|Primary Energy|Oil|Volume;EJ/yr;NA;1000;exports of crude oil (excluding refined oil products)
Trade|Exports|Secondary Energy|Solids and Liquids|Biomass|Volume;EJ/yr;NA;1000;exports of bioenergy (solid and liquid)
Trade|Exports|Secondary Energy|Electricity|Volume;EJ/yr;NA;1000;exports of electricity
Trade|Exports|Secondary Energy|Other|Volume;EJ/yr;NA;1000;exports of other secondary energy carriers not covered by above categories (e.g., hydrogen, fossil-based synthetic liquids)
Trade|Imports|Primary Energy|Coal|Volume;EJ/yr;NA;1000;imports of coal
Trade|Imports|Primary Energy|Gas|Volume;EJ/yr;NA;1000;imports of natural gas
Trade|Imports|Primary Energy|Oil|Volume;EJ/yr;NA;1000;imports of crude oil (excluding refined oil products)
Trade|Imports|Secondary Energy|Solids and Liquids|Biomass|Volume;EJ/yr;NA;1000;imports of bioenergy (solid and liquid)
Trade|Imports|Secondary Energy|Electricity|Volume;EJ/yr;NA;1000;imports of electricity
Trade|Imports|Secondary Energy|Other|Volume;EJ/yr;NA;1000;imports of other secondary energy carriers not covered by above categories (e.g., hydrogen, fossil-based synthetic liquids)
Production Cost|Agriculture;billion US$2005/yr;NA;1000;total agricultural production cost
Production Cost|Agriculture excl GHG market;billion US$2005/yr;NA;1000;agricultural production cost without GHG market costs (CO2 and Non-CO2 emissions as well as revenues from negative CO2 emissions
GHG market|Agriculture|CO2;billion US$2005/yr;NA;1000;net CO2 emission costs (cost - revenue)
GHG market|Agriculture|CO2|Cost;billion US$2005/yr;NA;1000;CO2 emission costs
GHG market|Agriculture|CO2|Revenue;billion US$2005/yr;NA;1000;Revneues from negative CO2 emissions
GHG market|Agriculture|Non-CO2;billion US$2005/yr;NA;1000;Non-CO2 emission costs
Water|Withdrawal|Irrigation;million m3/yr;NA;1000;withdrawals of blue water for irrigation
Trade|Imports|Agriculture|Volume;million ton/yr;NA;1000;imports of agricultural commodities (in dry matter)
Trade|Exports|Agriculture|Volume;million ton/yr;NA;1000;exports of agricultural commodities (in dry matter)
Fertilizer Use|Nitrogen;Tg Nr/yr;NA;1000;Nitrogen application due to fertilizer use
Yield|Cereal;tDM/ha/yr;NA;1000;average cereal yields
